obs_num,points
0,"[ 179.0, 90.0, 0.0 ][ 124.0, 250.0, 0.0 ][ 247.0, 248.0, 0.0 ][ 313.0, 158.0, 0.0 ][ 305.0, 294.0, 0.0 ][ 422.0, 259.0, 0.0 ][ 392.0, 103.0, 0.0 ][ 301.0, 94.0, 0.0 ]"
1,"[ 275.0, 333.0, 0.0 ][ 291.0, 401.0, 0.0 ][ 346.0, 365.0, 0.0 ]"
